sigma_SE,sigma_M32
0.3615855,1.80542
0.369175,0.9112635
0.4594740000000001,1.17538
0.31923500000000005,1.91997
0.308241,1.2011850000000002
0.3146525,0.5307695
0.382381,1.301685
0.2819505,0.3126625
0.5495985,0.4719995
0.2884295,1.7660550000000002
0.3351055,0.971584
0.382301,1.49293
0.5031065,1.75661
0.488711,0.4721205
0.5518185,0.52678
0.2809355,1.58999
0.2975215,0.33267199999999997
0.347236,1.00842
0.332455,0.3454805
0.4654985,0.4856395
0.605156,0.5984095
0.351915,0.3382815
0.1697275,0.171849
0.347676,0.322122
0.33051949999999997,0.311421
0.475635,0.409074
0.4579965,0.4146225
0.4419985,0.8750685
0.30593349999999997,0.767317
0.29374849999999997,0.8604780000000001
0.2561215,0.3359415
0.418865,0.5223439999999999
0.3917985000000001,0.33493850000000003
0.29867,1.94268
0.228942,0.398649
0.433908,0.692389
0.33498950000000005,0.3814595
0.2672375,1.41987
0.2209645,1.50546
0.22647,1.691095
0.258533,1.480015
0.2113075,0.660901
0.26486350000000003,0.7885605
0.284017,1.51413
0.3116285,0.6182645
0.25079399999999996,1.352
0.2750605,1.523435
0.3895515,0.4646795
0.417939,0.213595
0.25218,0.180927
0.2366325,0.15032299999999998
0.4031785,0.620305
0.2025265,0.1735445
0.3045365,1.41221
0.1440365,0.09992385
0.715503,0.307037
0.21255,0.361618
0.268874,1.4455749999999998
0.366798,0.32567199999999996
0.2196995,0.291678
0.166032,0.1466015
0.2890385,0.494171
0.16819299999999998,0.14439449999999998
0.27867600000000003,1.0069
0.2642865,0.5448415
0.26624400000000004,0.260332
0.22004,1.680335
0.7004619999999999,1.27317
0.2260725,1.6926450000000002
0.397564,0.367213
0.2156065,0.118669
0.33382049999999996,0.289504
0.222553,0.1881475
0.2276795,1.590015
0.2752965,1.488175
0.457708,1.4201549999999998
0.2402905,1.3458800000000002
0.3224855,0.9514015
0.19754,0.1895555
0.3856325,1.44018
0.36245,0.34259649999999997
0.3245835,0.9452225
0.2417085,0.27597150000000004
0.1856285,0.185205
0.269216,1.294625
0.227964,1.62552
0.1454995,0.11678
0.2524385,0.272362
0.2370985,0.2872135
0.263849,0.204728
0.5075925,0.379327
0.5221215,0.48455
0.34874249999999996,0.2593185
0.142728,0.101894
0.27423850000000005,0.751841
0.3852925,0.4558045
0.327983,0.3110925
0.5241039999999999,0.3591035
0.3165615,1.4671400000000001
0.297479,0.404304
0.7942495,0.3298005
0.29033,0.5019655000000001
0.32650500000000005,0.447634
0.4996435,0.377008
0.33535349999999997,0.1768695
0.501491,0.700116
0.2460485,1.42887
0.2366,1.62269
0.5187345000000001,0.4182115
0.3841520000000001,0.3768085
0.2298395,1.62444
0.2888315,0.6466485
0.29087050000000003,1.140625
0.32456050000000003,0.4236745
0.3764155,0.671357
0.2567045,1.483105
0.3300195,0.33546
0.2395225,1.62319
0.397913,0.8422155
0.16529500000000005,0.133581
0.979515,0.835194
0.2650375,1.400735
0.653592,0.443987
0.235251,1.6818499999999998
0.3857645,0.354216
0.166378,0.17079850000000002
0.5868495,1.337405
0.2322195,1.324895
0.15558899999999998,0.1062725
0.2581915,0.9238975
0.243922,0.668239
0.251657,1.67945
0.1979355,0.172448
0.3151535,0.1942395
0.233265,0.5337155
0.469821,0.484617
0.2359365,0.227386
0.2824845,0.2743375
0.4041245,0.4657155
0.246404,0.61928
0.15897899999999998,0.17302
0.1367605,0.118826
0.3042045,0.462466
0.3253475,1.193565
0.319298,0.29191849999999997
0.462143,0.3690305
0.5549465,0.46586
0.33592,0.41034350000000003
0.2342395,0.2949115
0.2888975,1.66772
0.279529,0.780284
0.462034,0.5064930000000001
0.5251165,0.5048035
0.21749,0.192467
0.2922535,1.1501
0.2099515,0.1704915
0.1869605,0.1468135
0.6822440000000001,0.8099069999999999
0.3666215,0.195459
0.372706,0.4183405
0.643069,1.24295
0.40529,0.3569155
1.00004,0.8379825000000001
0.341292,0.299776
0.244556,1.397915
0.241914,0.323905
0.319234,0.26288
0.242473,1.52025
0.403024,0.229356
0.333157,0.932073
0.580952,0.839843
0.167968,0.1362915
0.363095,0.8402130000000001
0.1763725,0.1221325
0.4212185000000001,0.580709
0.4311549999999999,0.3926385
0.3001215,0.385473
0.209569,0.2291765
0.2369565,1.5340950000000002
0.34877749999999996,0.5967439999999999
0.16168,0.1414895
0.1911765,0.127012
0.160447,0.1187225
0.343577,0.197151
0.1833895,0.237052
0.3049615,0.370878
0.2808135,0.580401
0.402049,0.230542
0.399338,0.7842795
0.5138825,0.7195469999999999
0.2418575,1.1202450000000002
0.6468095,0.7222679999999999
0.5325245000000001,0.633799
0.1530105,0.1332165
0.2324595,0.3199535
0.9564535,0.63096700000000006
0.4318045,0.6228905
0.365226,0.412793
0.25697499999999995,0.310663
0.2366705,1.66349
0.27784600000000004,1.3810500000000001
0.221769,1.58158
0.1974865,0.186894
0.1328275,0.09528895
0.2101805,0.263034
0.2282755,0.1507
0.266658,0.3381275
0.417683,0.370567
0.3017745,0.3023285
0.261301,0.225978
0.187971,0.169717
0.250828,0.5882105
0.2850855,0.3853204999999999
0.3052155,0.2396155
0.34876450000000003,0.407402
0.34923400000000004,0.376273
0.2683805,0.253384
0.1528035,0.09918915
0.382178,0.4160325
0.615517,0.4723775
0.25984450000000003,0.7816434999999999
0.2361885,1.530235
0.218568,1.31708
0.849163,0.961831
0.1797555,0.343028
0.5478594999999999,0.637569
0.33530950000000004,1.074955
